;Austria;Belgium;Bulgaria;Croatia;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Iceland;Ireland;Italy;Latvia;Lithuania;Luxembourg;Malta;Netherlands;Norway;Poland;Portugal;Romania;Slovakia;Slovenia;Spain;Sweden;Switzerland;United Kingdom;Belgium_rendements;Bulgaria_rendements;Croatia_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany_rendements;Greece_rendements;Hungary_rendements;Iceland_rendements;Ireland_rendements;Italy_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Malta_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Portugal_rendements;Romania_rendements;Slovakia_rendements;Slovenia_rendements;Spain_rendements;Sweden_rendements;Switzerland_rendements;United Kingdom_rendements
1994;0,0808;0,351;0,0198;0,0356;0,0411;0,0819;0,389;0,00767;0,0213;0,186;0,286;0,0708;0,0698;0,0;0,185;0,108;0,0111;0,0117;0,233;0,149;0,34;0,0;0,157;0,0354;0,0716;0,0046;0,0663;0,0521;0,0171;0,0;0,25;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0
1995;0,0808;0,351;0,0198;0,0356;0,0411;0,0819;0,389;0,00767;0,0213;0,186;0,286;0,0708;0,0698;0,0;0,185;0,108;0,0111;0,0117;0,233;0,149;0,34;0,0;0,157;0,0354;0,0716;0,0046;0,0663;0,0521;0,0171;0,0;0,25;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0
1996;0,0808;0,351;0,0198;0,0356;0,0411;0,0819;0,389;0,00767;0,0213;0,186;0,286;0,0708;0,0698;0,0;0,185;0,108;0,0111;0,0117;0,233;0,149;0,34;0,0;0,157;0,0354;0,0716;0,0046;0,0663;0,0521;0,0171;0,0;0,25;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0
1997;0,0808;0,351;0,0198;0,0356;0,0411;0,0819;0,389;0,00767;0,0213;0,186;0,286;0,0708;0,0698;0,0;0,185;0,108;0,0111;0,0117;0,233;0,149;0,34;0,0;0,157;0,0354;0,0716;0,0046;0,0663;0,0521;0,0171;0,0;0,25;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0
1998;0,0808;0,351;0,0198;0,0356;0,0411;0,0819;0,389;0,00767;0,0213;0,186;0,286;0,0708;0,0698;0,0;0,185;0,108;0,0111;0,0117;0,233;0,149;0,34;0,0;0,157;0,0354;0,0716;0,0046;0,0663;0,0521;0,0171;0,0;0,25;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0
1999;0,0808;0,351;0,0198;0,0356;0,0411;0,0819;0,389;0,00767;0,0213;0,186;0,286;0,0708;0,0698;0,0;0,185;0,108;0,0111;0,0117;0,233;0,149;0,34;0,0;0,157;0,0354;0,0716;0,0046;0,0663;0,0521;0,0171;0,0;0,25;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0
2000;0,0808;0,351;0,0198;0,0356;0,0411;0,0819;0,389;0,00767;0,0213;0,186;0,286;0,0708;0,0698;0,0;0,185;0,108;0,0111;0,0117;0,233;0,149;0,34;0,0;0,157;0,0354;0,0716;0,0046;0,0663;0,0521;0,0171;0,0;0,25;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0
2001;0,0808;0,351;0,0198;0,0356;0,0411;0,0819;0,389;0,00767;0,0213;0,186;0,286;0,0708;0,0698;0,0;0,185;0,108;0,0111;0,0117;0,233;0,149;0,34;0,0;0,157;0,0354;0,0716;0,0046;0,0663;0,0521;0,0171;0,0;0,25;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0
2002;0,0808;0,351;0,0198;0,0356;0,0411;0,0819;0,389;0,00767;0,0213;0,186;0,286;0,0708;0,0698;0,0;0,185;0,108;0,0111;0,0117;0,233;0,149;0,34;0,0;0,157;0,0354;0,0716;0,0046;0,0663;0,0521;0,0171;0,0;0,25;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0
2003;0,0808;0,351;0,0198;0,0356;0,0411;0,0819;0,389;0,00767;0,0213;0,186;0,286;0,0708;0,0698;0,0;0,185;0,108;0,0111;0,0117;0,233;0,149;0,34;0,0;0,157;0,0354;0,0716;0,0046;0,0663;0,0521;0,0171;0,0;0,25;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0
